ANNEEDEPLANTATION,ANNEEREALISATIONDIAGNOSTIC,ANNEETRAVAUXPRECONISESDIAG,CODE_PARENT,DIAMETREARBREAUNMETRE,ESPECE,FREQUENTATIONCIBLE,GENRE_BOTA,NOTEDIAGNOSTIC,PRIORITEDERENOUVELLEMENT,STADEDEVELOPPEMENTDIAG,TRAITEMENTCHENILLES,TRAVAUXPRECONISESDIAG,TROTTOIR,VARIETE,VIGUEUR,DEFAUT,INTITULEPROTECTIONPLU_L 1231,INTITULEPROTECTIONPLU_L 1231.7,INTITULEPROTECTIONPLU_ebc,INTITULEPROTECTIONPLU_valeur manquante,RAISONDEPLANTATION_Nouveau,RAISONDEPLANTATION_Remplacement,RAISONDEPLANTATION_valeur manquante,remarquesclusterisées,SOUS_CATEGORIE_DESC_Arbre de voirie,SOUS_CATEGORIE_DESC_Arbre denceintes fermées,cluster,SOUS_CATEGORIE_DESC_Arbre despaces ouverts,SOUS_CATEGORIE_DESC_Bois semi naturel,TYPEIMPLANTATIONPLU_Alignement,TYPEIMPLANTATIONPLU_Groupé,TYPEIMPLANTATIONPLU_Isolé,TYPEIMPLANTATIONPLU_Périmètre,TYPEIMPLANTATIONPLU_valeur manquante
2004,2014.0,2014.0,978,2,166,3,1,2,3,2,0,9,0,89,3.0,1,False,False,False,True,False,False,True,0,False,False,131,True,False,False,False,False,False,True
2004,2013.0,2017.0,1042,5,12,3,30,1,3,2,0,15,1,35,4.0,0,False,False,False,True,False,False,True,3,True,False,146,False,False,False,False,False,False,True
2004,2014.0,2015.0,85,11,1,3,75,1,4,2,0,9,0,89,4.0,1,False,False,False,True,False,False,True,3,False,False,203,True,False,False,False,False,False,True
2004,2015.0,2017.0,26,3,133,3,73,1,4,2,2,15,0,4,4.0,0,False,False,False,True,False,False,True,0,True,False,109,False,False,False,False,False,False,True
2004,2014.0,2014.0,243,2,52,3,103,2,3,2,0,3,0,89,4.0,1,False,False,False,True,False,False,True,0,True,False,257,False,False,False,False,False,False,True
2004,2014.0,2017.0,284,5,215,3,56,1,4,2,0,15,0,89,4.0,0,False,False,False,True,False,False,True,0,False,False,273,True,False,False,False,False,False,True
2004,2013.0,2017.0,890,4,133,1,73,2,3,2,3,15,0,4,4.0,0,False,False,False,True,False,False,True,3,False,False,34,True,False,False,False,False,False,True
2004,2014.0,2014.0,1086,4,1,3,75,1,4,2,0,12,1,89,4.0,0,False,False,False,True,False,False,True,0,True,False,38,False,False,False,False,False,False,True
2004,2014.0,2017.0,1027,2,35,3,39,1,4,2,0,15,0,89,3.0,0,False,False,False,True,False,False,True,3,False,False,63,True,False,False,False,False,False,True
2004,2013.0,2017.0,1024,8,101,3,94,1,4,2,0,15,0,89,4.0,0,False,False,False,True,False,False,True,0,False,False,254,True,False,False,False,False,False,True
2004,2015.0,2018.0,921,2,188,3,18,1,4,2,0,12,0,89,4.0,1,False,False,False,True,False,False,True,0,False,False,334,True,False,False,False,False,False,True
2004,2014.0,2017.0,274,5,21,3,11,1,4,2,0,9,0,89,4.0,0,False,False,False,True,False,False,True,0,False,False,137,True,False,False,False,False,False,True
2004,2014.0,2014.0,315,4,133,3,73,1,4,2,3,12,0,4,4.0,0,False,False,False,True,False,False,True,11,False,False,63,True,False,False,False,False,False,True
2009,2013.0,2017.0,1024,2,16,3,15,1,4,1,0,15,0,89,4.0,0,False,False,False,True,False,False,True,0,False,False,197,True,False,False,False,False,False,True
2004,2014.0,2014.0,111,3,133,3,73,1,4,2,3,12,0,4,4.0,0,False,False,False,True,False,False,True,11,True,False,248,False,False,False,False,False,False,True
2005,2015.0,2020.0,591,2,217,3,11,1,4,2,0,12,1,71,4.0,1,False,False,False,True,False,False,True,0,True,False,275,False,False,False,False,False,False,True
2004,2015.0,2017.0,760,3,197,3,55,1,4,2,0,12,0,89,3.0,1,False,False,False,True,False,False,True,0,False,False,122,True,False,False,False,False,False,True
2004,2015.0,2017.0,927,2,30,3,1,2,3,2,0,12,0,89,3.0,1,False,False,False,True,False,False,True,0,False,False,112,True,False,False,False,False,False,True
2004,2015.0,2016.0,702,4,5,3,3,1,4,2,0,12,0,89,4.0,0,False,False,False,True,False,False,True,81,True,False,91,False,False,False,False,False,False,True
2004,2013.0,2017.0,1045,3,101,3,94,1,4,2,0,15,1,89,4.0,0,False,False,False,True,False,False,True,0,True,False,203,False,False,False,False,False,False,True
2004,2015.0,2018.0,743,3,197,3,55,1,4,2,0,12,1,89,4.0,0,False,False,False,True,False,False,True,0,True,False,225,False,False,False,False,False,False,True
2014,2014.0,2020.0,604,2,74,2,60,1,4,1,0,3,0,89,4.0,0,False,False,False,True,False,False,True,0,True,False,329,False,False,False,False,False,False,True
2004,2014.0,2019.0,69,4,159,3,1,1,4,2,0,9,0,89,4.0,0,False,False,False,True,False,False,True,0,False,False,284,True,False,False,False,False,False,True
2004,2013.0,2017.0,890,1,185,1,30,1,4,1,0,15,0,89,4.0,0,False,False,False,True,False,False,True,0,False,False,34,True,False,False,False,False,False,True
2004,2013.0,2017.0,1024,6,165,3,88,1,4,2,0,15,0,89,4.0,0,False,False,False,True,False,False,True,0,False,False,197,True,False,False,False,False,False,True
2004,2013.0,2017.0,447,2,1,3,75,1,4,2,0,15,1,89,4.0,0,False,False,False,True,False,False,True,3,True,False,58,False,False,False,False,False,False,True
2004,2013.0,2017.0,1024,7,166,3,1,1,4,2,0,15,0,89,4.0,1,False,False,False,True,False,False,True,0,False,False,157,True,False,False,False,False,False,True
2004,2013.0,2017.0,931,6,206,3,103,1,4,2,0,9,0,89,4.0,0,False,False,False,True,False,False,True,0,False,False,358,True,False,False,False,False,False,True
2004,2013.0,2018.0,441,9,1,3,75,1,4,2,0,11,0,89,4.0,0,False,False,False,True,False,False,True,0,False,False,371,True,False,False,False,False,False,True
2004,2013.0,2015.0,298,2,20,2,100,1,4,2,0,8,0,89,4.0,0,False,False,False,True,False,False,True,0,False,False,82,True,False,False,False,False,False,True
2004,2015.0,2016.0,693,2,206,3,103,2,3,2,0,3,0,89,3.0,1,False,False,False,True,False,False,True,0,False,True,293,False,False,False,False,False,False,True
2004,2014.0,2014.0,692,6,1,3,75,1,4,2,0,13,0,89,4.0,1,False,False,False,True,False,False,True,0,True,False,242,False,False,False,False,False,False,True
2004,2015.0,2015.0,48,6,181,3,1,1,4,2,0,3,0,87,4.0,1,False,False,False,True,False,False,True,0,False,True,383,False,False,False,False,False,False,True
2004,2014.0,2017.0,15,3,181,3,1,1,4,2,0,15,1,87,4.0,0,False,False,False,True,False,False,True,6,True,False,132,False,False,False,False,False,False,True
2004,2015.0,2016.0,566,9,1,3,75,3,2,3,0,13,1,89,,1,False,True,False,False,False,False,True,17,True,False,285,False,False,True,False,False,False,False
2004,2015.0,2017.0,877,3,206,3,68,2,4,2,0,15,0,89,4.0,0,False,False,False,True,False,False,True,0,False,False,360,True,False,False,False,False,False,True
2004,2015.0,2015.0,33,9,166,2,1,3,2,3,0,9,0,89,4.0,1,False,False,False,True,False,False,True,0,False,False,156,True,False,False,False,False,False,True
2004,2013.0,2016.0,270,2,6,3,41,1,4,1,0,12,0,89,4.0,0,False,False,False,True,False,False,True,0,False,False,348,True,False,False,False,False,False,True
2004,2014.0,2019.0,696,3,25,3,63,1,4,2,0,9,0,34,4.0,1,False,False,False,True,False,False,True,3,False,False,213,True,False,False,False,False,False,True
2014,2014.0,2020.0,537,2,160,2,75,1,4,1,0,3,1,84,4.0,0,False,False,False,True,False,False,True,0,True,False,145,False,False,False,False,False,False,True
2004,2015.0,2020.0,999,6,1,3,75,1,4,2,0,12,0,89,4.0,0,False,False,False,True,False,False,True,4,False,False,218,True,False,False,False,False,False,True
2004,2015.0,2018.0,1073,2,165,3,88,2,4,2,0,12,0,89,4.0,1,False,False,False,True,False,False,True,0,False,False,37,True,False,False,False,False,False,True
2014,2014.0,2020.0,736,2,142,2,41,1,4,1,0,3,1,89,4.0,0,False,False,False,True,False,False,True,0,True,False,246,False,False,False,False,False,False,True
2004,2013.0,2016.0,289,5,1,3,75,1,4,2,0,10,0,89,4.0,0,False,False,False,True,False,False,True,17,True,False,118,False,False,False,False,False,False,True
2004,2014.0,2014.0,994,3,52,3,5,1,4,2,0,12,1,89,4.0,1,False,False,False,True,False,False,True,0,True,False,130,False,False,False,False,False,False,True
2004,2013.0,2012.0,208,6,159,3,1,2,4,2,0,3,0,89,4.0,1,False,False,False,True,False,False,True,0,False,False,3,True,False,False,False,False,False,True
2004,2014.0,2014.0,1030,6,175,3,86,1,4,2,0,9,0,89,4.0,1,False,False,False,True,False,False,True,0,False,False,6,True,False,False,False,False,False,True
2004,2014.0,2015.0,1078,6,71,3,41,1,4,2,0,3,0,89,4.0,0,False,False,False,True,False,False,True,0,False,False,163,True,False,False,False,False,False,True
2015,2015.0,2020.0,816,2,64,2,60,1,4,1,0,3,0,89,4.0,0,False,False,False,True,True,False,False,0,False,False,228,True,False,False,False,False,False,True
2004,2013.0,2014.0,1045,4,101,3,94,1,4,2,0,13,1,89,4.0,1,False,False,False,True,False,False,True,3,True,False,11,False,False,False,False,False,False,True
2014,2014.0,2020.0,157,2,33,2,1,1,4,1,0,3,1,89,4.0,0,False,False,False,True,False,False,True,0,True,False,69,False,False,False,False,False,False,True
2004,2013.0,2016.0,244,4,16,3,15,1,4,2,0,1,0,89,4.0,0,False,False,False,True,False,False,True,3,True,False,173,False,False,False,False,False,False,True
2008,2015.0,2017.0,11,2,33,3,1,1,4,1,0,12,0,89,4.0,1,False,False,False,True,False,False,True,0,True,False,210,False,False,False,False,False,False,True
2004,2015.0,2016.0,1100,4,113,3,19,3,2,2,0,13,0,89,3.0,1,False,False,False,True,False,False,True,73,False,True,209,False,False,False,False,False,False,True
2004,2013.0,2014.0,362,4,1,3,75,1,4,2,0,8,0,89,4.0,0,False,False,False,True,False,False,True,0,True,False,222,False,False,False,False,False,False,True
2005,2015.0,2017.0,226,2,187,3,79,1,4,1,0,15,0,89,4.0,1,False,False,False,True,False,False,True,0,False,False,221,True,False,False,False,False,False,True
2004,2015.0,2018.0,743,2,197,3,55,1,4,2,0,12,1,89,4.0,0,False,False,False,True,False,False,True,0,True,False,294,False,False,False,False,False,False,True
2004,2014.0,2014.0,515,4,133,3,77,2,3,2,0,0,0,45,,1,False,False,False,True,False,False,True,75,True,False,123,False,False,False,False,False,False,True
2004,2013.0,2014.0,1028,6,206,3,103,1,3,2,0,14,1,89,4.0,1,False,False,False,True,False,False,True,3,True,False,245,False,False,False,False,False,False,True
2004,2013.0,2017.0,197,4,1,3,75,1,4,2,0,15,0,89,4.0,0,False,False,False,True,False,False,True,0,True,False,218,False,False,False,False,False,False,True
2004,2013.0,2017.0,524,4,1,3,75,1,3,2,0,15,1,89,3.0,0,False,False,False,True,False,False,True,20,True,False,163,False,False,False,False,False,False,True
2004,2014.0,2014.0,770,8,1,3,75,2,3,2,0,13,0,89,3.0,1,False,False,False,True,False,False,True,3,True,False,242,False,False,False,False,False,False,True
2014,2014.0,2019.0,553,2,215,2,56,1,4,1,0,3,0,89,4.0,0,False,False,False,True,False,False,True,0,True,False,307,False,False,False,False,False,False,True
2004,2014.0,2014.0,1054,5,1,3,75,1,4,2,0,12,1,89,4.0,0,False,False,False,True,False,False,True,145,True,False,369,False,False,False,False,False,False,True
2011,2015.0,2018.0,464,4,94,3,2,1,4,2,0,12,1,89,4.0,0,False,False,False,True,False,False,True,0,False,False,122,True,False,False,False,False,False,True
2004,2015.0,2017.0,52,2,33,3,1,1,4,2,0,12,0,89,4.0,0,False,False,False,True,False,False,True,0,True,False,78,False,False,False,False,False,False,True
2014,2014.0,2019.0,553,2,201,2,73,1,4,1,0,3,0,89,4.0,0,False,False,False,True,False,False,True,0,True,False,307,False,False,False,False,False,False,True
2011,2015.0,2017.0,659,2,216,3,8,1,4,2,0,12,1,89,4.0,0,False,False,False,True,False,False,True,0,False,False,56,True,False,False,False,False,False,True
2004,2013.0,2016.0,641,5,71,2,41,1,4,2,0,11,0,89,4.0,0,False,False,False,True,False,False,True,0,False,False,176,True,False,False,False,False,False,True
2004,2015.0,2016.0,702,4,5,3,3,1,4,2,0,12,0,89,4.0,0,False,False,False,True,False,False,True,3,True,False,91,False,False,False,False,False,False,True
2004,2014.0,2017.0,826,2,159,3,1,1,4,2,0,15,1,89,3.0,0,False,False,False,True,False,False,True,0,True,False,277,False,False,False,False,False,False,True
2004,2013.0,2017.0,1052,3,187,3,79,1,4,2,0,15,0,89,4.0,0,False,False,False,True,False,False,True,0,False,False,223,True,False,False,False,False,False,True
2004,2014.0,2014.0,1114,4,197,3,55,1,4,2,0,12,1,89,4.0,1,False,False,False,True,False,False,True,167,True,False,199,False,False,False,False,False,False,True
2004,2015.0,2018.0,1025,2,220,2,8,1,4,1,0,12,0,89,4.0,0,False,False,False,True,False,False,True,0,True,False,388,False,False,False,False,False,False,True
2004,2013.0,2017.0,685,3,101,3,94,1,3,2,0,15,0,89,4.0,0,False,False,False,True,False,False,True,0,True,False,215,False,False,False,False,False,False,True
2004,2013.0,2016.0,236,7,165,3,88,2,3,2,0,11,0,89,4.0,0,False,False,False,True,False,False,True,0,False,False,82,True,False,False,False,False,False,True
2005,2015.0,2016.0,226,3,29,3,1,1,4,1,0,12,0,89,4.0,0,False,False,False,True,False,False,True,62,False,False,221,True,False,False,False,False,False,True
2012,2013.0,2017.0,1036,3,133,3,73,1,3,2,2,15,0,89,3.0,0,False,False,False,True,False,False,True,11,True,False,161,False,False,False,False,False,False,True
2011,2014.0,2015.0,781,3,88,3,59,1,4,2,0,12,0,89,4.0,0,False,False,False,True,False,False,True,134,False,False,320,True,False,False,False,False,False,True
2004,2013.0,2017.0,254,4,94,3,2,1,4,2,0,15,1,89,4.0,0,False,False,False,True,False,False,True,0,True,False,211,False,False,False,False,False,False,True
2004,2015.0,2017.0,975,1,99,2,52,2,3,2,0,15,0,89,4.0,1,False,False,False,True,False,False,True,0,False,False,288,True,False,False,False,False,False,True
2004,2015.0,2015.0,839,4,159,3,1,5,1,2,0,0,1,89,,1,False,False,False,True,False,False,True,3,False,False,393,True,False,False,False,False,False,True
2004,2014.0,2014.0,983,3,197,3,55,1,4,2,0,12,0,89,4.0,1,False,False,False,True,False,False,True,89,True,False,319,False,False,False,False,False,False,True
2004,2015.0,2017.0,1107,2,215,3,56,1,3,2,0,12,0,89,4.0,0,False,False,False,True,False,False,True,0,True,False,367,False,False,False,False,False,False,True
2004,2013.0,2017.0,1051,5,52,3,103,1,4,2,0,15,0,89,4.0,0,False,False,False,True,False,False,True,0,False,False,233,True,False,False,False,False,False,True
2004,2015.0,2017.0,525,2,71,2,41,1,4,2,0,15,1,89,4.0,0,False,False,False,True,False,False,True,0,False,False,3,False,True,False,False,False,False,True
2004,2015.0,2017.0,546,3,161,3,103,2,2,2,0,12,1,89,4.0,1,False,False,False,True,False,False,True,62,True,False,322,False,False,False,False,False,False,True
2004,2015.0,2018.0,1005,3,188,2,18,2,4,2,0,3,0,89,3.0,0,False,False,False,True,False,False,True,0,True,False,397,False,False,False,False,False,False,True
2004,2015.0,2017.0,832,3,113,2,19,2,3,2,0,15,0,89,4.0,1,False,False,False,True,False,False,True,0,False,False,128,True,False,False,False,False,False,True
2004,2014.0,2016.0,185,3,220,3,8,1,4,2,0,9,0,89,4.0,0,False,False,False,True,False,False,True,3,False,False,316,True,False,False,False,False,False,True
2004,2013.0,2020.0,251,3,52,3,103,1,4,2,0,12,0,89,4.0,0,False,False,False,True,False,False,True,0,True,False,383,False,False,False,False,False,False,True
2004,2014.0,2014.0,598,2,94,3,2,1,4,1,0,5,1,89,4.0,1,False,False,False,True,False,False,True,3,True,False,277,False,False,False,False,False,False,True
2004,2015.0,2017.0,886,5,72,3,72,2,4,2,0,15,0,89,3.0,1,False,False,False,True,False,False,True,0,False,True,265,False,False,False,False,False,False,True
2004,2015.0,2018.0,337,4,181,2,1,2,3,2,0,12,0,89,3.0,1,False,False,False,True,False,False,True,65,False,False,356,True,False,False,False,False,False,True
2004,2015.0,2017.0,1136,2,21,2,11,1,4,2,0,15,0,89,4.0,0,False,False,False,True,False,False,True,0,False,False,31,True,False,False,False,False,False,True
2004,2013.0,2017.0,36,9,1,3,75,1,4,2,0,15,1,89,4.0,0,False,False,False,True,False,False,True,0,True,False,271,False,False,False,False,False,False,True
2004,2015.0,2018.0,532,3,206,3,103,1,4,2,0,12,1,89,4.0,0,False,False,False,True,False,False,True,65,False,False,47,True,False,False,False,False,False,True
2004,2015.0,2016.0,978,2,166,3,1,1,4,1,0,3,0,89,4.0,0,False,False,False,True,False,False,True,0,False,False,302,True,False,False,False,False,False,True
2004,2015.0,2020.0,234,3,133,3,48,2,4,2,0,12,0,89,4.0,1,False,False,False,True,False,False,True,0,False,False,234,True,False,False,False,False,False,True
2004,2014.0,2014.0,711,1,1,3,75,1,4,1,0,3,0,89,4.0,0,False,False,False,True,False,False,True,0,False,True,340,False,False,False,False,False,False,True
2004,2015.0,2017.0,973,3,88,3,59,2,3,2,0,15,0,89,3.0,1,False,False,False,True,False,False,True,0,True,False,245,False,False,False,False,False,False,True
2004,2015.0,2017.0,794,4,210,3,43,1,4,2,0,15,0,89,4.0,1,False,False,False,True,False,False,True,0,False,False,218,True,False,False,False,False,False,True
2004,2013.0,2017.0,169,3,206,3,103,1,4,2,0,15,0,89,4.0,0,False,False,False,True,False,False,True,0,True,False,211,False,False,False,False,False,False,True
2009,2015.0,2017.0,1050,1,197,3,55,2,2,1,0,15,1,89,4.0,1,False,False,False,True,False,False,True,0,True,False,346,False,False,False,False,False,False,True
2004,2014.0,2017.0,284,3,220,3,8,1,4,2,0,15,0,89,4.0,0,False,False,False,True,False,False,True,3,False,False,273,True,False,False,False,False,False,True
2004,2013.0,2017.0,74,5,138,2,15,1,4,2,0,15,0,89,4.0,0,False,False,False,True,False,False,True,0,False,False,184,True,False,False,False,False,False,True
2004,2013.0,2017.0,74,6,16,2,15,1,4,2,0,15,0,89,4.0,0,False,False,False,True,False,False,True,0,False,False,184,True,False,False,False,False,False,True
2014,2014.0,2020.0,313,2,19,2,89,1,4,1,0,3,0,62,4.0,0,False,False,False,True,False,False,True,0,False,False,91,True,False,False,False,False,False,True
2004,2015.0,2017.0,756,2,201,3,73,2,3,2,0,15,0,89,3.0,1,False,False,False,True,False,False,True,4,False,False,119,True,False,False,False,False,False,True
2004,2014.0,2014.0,3,6,45,2,89,2,3,2,0,3,0,89,4.0,1,False,False,False,True,False,False,True,0,False,False,141,True,False,False,False,False,False,True
2005,2015.0,2017.0,595,2,1,3,75,1,4,2,0,12,0,89,4.0,0,False,False,False,True,False,False,True,0,True,False,144,False,False,False,False,False,False,True
2004,2013.0,2017.0,74,3,48,2,25,1,4,2,0,15,0,89,4.0,0,False,False,False,True,False,False,True,0,False,False,184,True,False,False,False,False,False,True
2004,2014.0,2014.0,684,3,159,3,1,2,3,2,0,9,1,89,3.0,1,False,False,False,True,False,False,True,0,True,False,174,False,False,False,False,False,False,True
2004,2014.0,2014.0,2,3,197,3,55,1,4,2,0,9,0,89,4.0,1,False,False,False,True,False,False,True,0,False,False,338,True,False,False,False,False,False,True
2004,2015.0,2017.0,566,8,1,3,75,4,1,3,0,3,1,89,,1,False,True,False,False,False,False,True,12,True,False,111,False,False,True,False,False,False,False
2004,2014.0,2014.0,706,8,1,3,75,4,1,2,0,13,0,89,4.0,1,False,False,False,True,False,False,True,3,False,False,258,True,False,False,False,False,False,True
2009,2014.0,2017.0,82,1,185,3,30,1,4,1,0,15,1,89,4.0,0,False,False,False,True,False,False,True,0,True,False,341,False,False,False,False,False,False,True
2004,2015.0,2020.0,726,2,21,2,11,1,4,2,0,12,1,89,4.0,0,False,False,False,True,False,False,True,0,False,False,282,True,False,False,False,False,False,True
2010,2015.0,2017.0,464,4,94,3,2,1,4,2,0,12,1,89,4.0,0,False,False,False,True,False,False,True,0,False,False,122,True,False,False,False,False,False,True
2004,2014.0,2017.0,405,2,220,3,8,2,3,2,0,15,0,89,3.0,0,False,False,False,True,False,False,True,3,True,False,58,False,False,False,False,False,False,True
2014,2014.0,2019.0,558,2,193,2,5,1,4,1,0,3,0,89,4.0,0,False,False,False,True,False,False,True,0,True,False,43,False,False,False,False,False,False,True
2004,2015.0,2020.0,230,3,159,3,1,1,4,2,0,12,0,89,4.0,0,False,False,False,True,False,False,True,0,False,False,93,True,False,False,False,False,False,True
2004,2013.0,2017.0,454,2,166,3,1,3,2,2,0,15,0,89,3.0,1,False,False,False,True,False,False,True,0,True,False,161,False,False,False,False,False,False,True
2004,2015.0,2020.0,89,3,30,3,1,2,4,2,0,12,0,89,4.0,1,False,False,False,True,False,False,True,0,False,False,170,True,False,False,False,False,False,True
2004,2013.0,2016.0,330,5,165,3,88,2,3,2,0,11,0,89,4.0,1,False,False,False,True,False,False,True,151,False,False,155,True,False,False,False,False,False,True
2004,2014.0,2014.0,952,3,6,3,103,1,4,2,0,12,1,89,4.0,0,False,False,False,True,False,False,True,0,True,False,293,False,False,False,False,False,False,True
2004,2014.0,2014.0,706,8,1,3,75,1,4,2,0,9,0,89,4.0,1,False,False,False,True,False,False,True,3,False,False,106,True,False,False,False,False,False,True
2004,2015.0,2020.0,836,5,166,3,1,2,4,2,0,12,0,89,4.0,1,False,False,False,True,False,False,True,0,False,False,234,True,False,False,False,False,False,True
2004,2013.0,2016.0,59,3,159,3,1,1,4,2,0,8,1,89,4.0,0,False,False,False,True,False,False,True,0,True,False,371,False,False,False,False,False,False,True
2004,2014.0,2016.0,936,12,3,3,77,1,3,2,0,9,0,89,3.0,1,False,False,False,True,False,False,True,0,False,False,122,True,False,False,False,False,False,True
2004,2013.0,2018.0,251,3,132,3,1,1,3,2,0,12,1,89,3.0,0,False,False,False,True,False,False,True,0,True,False,383,False,False,False,False,False,False,True
2004,2015.0,2017.0,223,2,216,3,8,1,4,2,0,12,1,89,4.0,0,False,False,False,True,False,False,True,0,False,False,200,True,False,False,False,False,False,True
2011,2014.0,2015.0,579,2,42,3,86,1,4,1,0,12,0,89,4.0,0,False,False,False,True,False,False,True,106,False,False,152,True,False,False,False,False,False,True
2004,2013.0,2017.0,650,5,1,3,75,1,4,2,0,15,1,89,4.0,0,False,False,False,True,False,False,True,0,True,False,278,False,False,False,False,False,False,True
2004,2013.0,2017.0,908,5,1,3,75,1,4,2,0,15,1,89,4.0,0,False,False,False,True,False,False,True,0,True,False,126,False,False,False,False,False,False,True
2009,2015.0,2018.0,652,2,159,3,1,1,4,1,0,12,1,89,4.0,0,False,False,False,True,False,False,True,0,True,False,56,False,False,False,False,False,False,True
2005,2015.0,2018.0,1132,2,30,2,1,1,4,2,0,15,0,89,4.0,0,False,False,False,True,False,False,True,0,False,False,251,True,False,False,False,False,False,True
